NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
229;4,12;09/04/2014;4;2;15:26:10;16:01:45;1;16;1;1998;1;0;0;0;1;2;2;0;1;5;5;4;2;1;5;5;1;5;1;2;2;2;2;2;2;2;1;1
230;0,77;09/04/2014;4;2;15:44:01;16:09:50;1;41;4;1973;1;0;0;0;1;2;2;0;1;5;4;5;5;5;5;5;2;4;1;2;2;2;2;2;2;2;1;1
231;0,77;09/04/2014;4;2;15:53:51;16:18:49;2;18;1;1996;1;0;1;1;0;1;1;1;1;2;2;2;2;2;1;1;5;5;1;1;1;1;1;1;1;1;1;1
232;0,83;09/04/2014;4;2;15:57:13;16:20:33;2;22;2;1992;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1
233;0,72;09/04/2014;4;2;16:29:13;16:44:03;1;52;5;1962;1;1;0;1;0;2;1;1;3;5;5;4;4;5;4;5;4;4;1;3;2;1;1;1;2;2;1;1
234;6,44;09/04/2014;4;2;16:09:54;16:44:44;1;51;5;1963;1;0;1;1;0;2;2;1;1;2;4;5;4;1;4;4;5;4;1;1;2;1;1;1;2;1;2;1
235;0,83;09/04/2014;4;2;16:29:21;16:50:14;1;19;1;1995;1;0;1;1;0;2;1;1;1;5;5;5;4;3;5;5;3;5;1;2;2;1;2;1;2;2;1;1
236;0,62;09/04/2014;4;2;16:34:15;16:53:48;2;50;5;1964;1;0;0;0;1;2;2;0;1;5;5;3;3;5;5;5;5;3;1;2;2;1;2;2;2;2;2;1
238;0,66;09/04/2014;4;2;16:47:34;17:08:25;1;50;5;1964;1;0;0;1;0;2;1;1;3;3;5;3;3;3;1;5;3;1;1;1;1;1;1;1;1;2;1;1
240;4,86;09/04/2014;4;2;16:55:30;17:33:03;1;19;1;1995;1;0;1;1;0;1;2;1;2;3;5;1;1;3;5;5;5;2;1;1;2;1;1;1;2;2;2;1
242;1,92;10/04/2014;4;3;14:01:16;14:31:09;1;26;3;1988;1;0;0;0;1;2;2;0;1;5;1;5;5;1;4;5;1;5;1;1;1;2;2;1;2;2;1;2
243;5,61;10/04/2014;4;3;14:19:16;14:41:09;2;22;2;1992;1;0;0;1;0;2;1;1;1;2;2;4;4;2;4;4;2;2;1;1;2;1;1;1;1;1;1;1
244;0,54;10/04/2014;4;3;14:35:41;14:48:17;1;49;4;1965;1;0;1;1;0;2;1;1;5;2;5;3;3;3;5;5;5;3;1;1;1;1;1;1;2;2;1;1
245;0,61;10/04/2014;4;3;14:27:28;14:55:50;1;42;4;1972;1;0;1;1;0;1;2;1;1;1;1;4;4;2;4;5;5;1;1;1;1;1;1;1;1;1;2;1
247;1,02;10/04/2014;4;3;14:35:48;15:16:42;1;41;4;1973;1;0;1;1;0;1;2;1;1;3;1;1;3;3;3;3;4;4;1;1;1;1;1;1;1;1;2;1
248;3,11;10/04/2014;4;3;14:46:17;15:26:37;2;33;3;1981;1;0;1;1;0;2;2;1;1;1;5;1;1;1;5;5;5;1;1;1;2;1;1;1;2;2;2;1
25;0,67;31/03/2014;3;7;17:06:49;17:41:15;1;33;3;1981;1;0;1;1;0;1;2;1;1;1;1;1;2;1;1;2;5;1;1;1;1;1;1;1;1;1;2;1
250;3,42;10/04/2014;4;3;15:13:57;15:46:02;1;18;1;1996;1;0;1;1;1;2;2;0;1;5;5;5;5;4;5;5;4;1;1;1;2;2;2;1;2;2;1;1
252;1,01;10/04/2014;4;3;15:42:32;16:02:30;2;30;3;1984;1;0;0;1;0;2;1;1;1;3;5;2;4;1;5;5;2;4;1;1;2;1;1;1;3;1;1;1
253;6,05;10/04/2014;4;3;15:34:30;16:04:12;1;38;4;1976;1;0;1;1;0;1;2;1;1;4;1;1;4;4;3;4;2;1;1;1;1;1;1;1;1;1;1;1
256;4,29;10/04/2014;4;3;16:25:43;16:43:33;2;16;1;1998;1;0;0;1;0;1;1;1;1;5;2;1;3;5;5;5;5;3;1;1;1;1;1;1;1;1;2;1
26;0,61;01/04/2014;4;1;14:03:39;14:28:04;2;45;4;1969;1;0;1;1;0;1;2;1;1;2;1;1;2;1;3;5;5;3;1;1;1;1;1;1;1;1;2;1
260;2,95;10/04/2014;4;3;16:52:50;17:07:13;2;18;1;1996;1;0;1;1;0;2;2;1;2;5;5;3;3;5;5;5;5;5;1;1;2;1;1;1;2;2;1;1
261;0,79;10/04/2014;4;3;16:56:01;17:13:20;1;18;1;1996;1;0;0;1;0;2;1;1;1;4;1;1;4;5;1;1;5;4;1;1;1;1;1;1;1;1;1;1
262;4,19;10/04/2014;4;3;16:59:08;17:15:28;2;18;1;1996;0;0;0;0;0;2;2;0;1;4;4;4;5;3;5;5;3;4;;;;;;;;;;
